,kWh
1,0.8
2,0.8
3,0.5
4,0.5
5,0.5
6,0.4
7,0.5
8,0.4
9,0.5
10,0.4
11,0.6
12,1.4
13,1.1
14,0.8
15,0.6
16,0.3
17,1.1
18,1.1
19,0.6
20,0.4
21,0.4
22,0.4
23,3
24,2.7
25,0.4
26,0.5
27,0.4
28,0.4
29,0.4
30,0.4
31,0.4
32,0.4
33,0.4
34,1.1
35,0.7
36,0.5
37,0.8
38,1.3
39,0.8
40,0.6
41,0.6
42,0.6
43,1
44,1.1
45,1.2
46,0.8
47,0.8
48,0.6
49,0.4
50,0.5
51,0.5
52,0.4
53,0.4
54,0.4
55,0.4
56,0.4
57,0.4
58,0.4
59,0.7
60,0.5
61,0.4
62,0.4
63,0.5
64,0.4
65,0.6
66,0.8
67,2.3
68,1.4
69,0.8
70,0.8
71,0.6
72,0.4
73,0.4
74,0.5
75,0.4
76,0.4
77,0.4
78,0.4
79,0.4
80,0.4
81,0.4
82,0.4
83,1.1
84,2.3
85,1.6
86,1.1
87,0.9
88,1.2
89,1.3
90,4.9
91,1.3
92,1.2
93,1.6
94,3.4
95,3.4
96,4.5
97,2
98,3.7
99,0.6
100,0.7
101,0.5
102,0.5
103,0.4
104,1.3
105,0.8
106,0.7
107,1.1
108,3.9
109,0.5
110,0.6
111,0.6
112,0.5
113,0.6
114,1.1
115,2.6
116,1.1
117,1.9
118,1.6
119,1.2
120,1.3
121,1.2
122,0.4
123,0.3
124,0.4
125,0.4
126,0.4
127,0.4
128,0.5
129,0.7
130,1.4
131,1
132,2.3
133,0.9
134,0.5
135,0.4
136,0.6
137,0.6
138,0.6
139,0.8
140,0.6
141,0.7
142,1
143,1.4
144,1
145,1.3
146,1
147,0.4
148,0.3
149,0.4
150,0.4
151,0.4
152,0.4
153,0.5
154,0.6
155,1.2
156,0.7
157,0.4
158,0.6
159,0.7
160,0.7
161,1.2
162,1.6
163,2.8
164,2.1
165,1.2
166,1.5
167,1.1
168,0.8
169,0.4
170,0.4
171,0.3
172,0.3
173,0.3
174,0.3
175,0.3
176,0.3
177,1
178,0.5
179,0.5
180,0.7
181,0.7
182,0.7
183,0.8
184,3.5
185,1
186,0.8
187,0.7
188,0.7
189,1.1
190,1
191,1
192,1
193,0.9
194,0.6
195,0.5
196,0.5
197,0.4
198,0.5
199,0.5
200,0.8
201,0.8
202,0.3
203,0.5
204,0.4
205,0.4
206,0.6
207,1
208,0.7
209,0.4
210,1
211,1
212,1.2
213,0.9
214,0.8
215,3.3
216,0.7
217,0.6
218,0.5
219,0.4
220,0.5
221,0.4
222,0.4
223,0.4
224,0.4
225,0.4
226,0.5
227,1.2
228,2.6
229,1.4
230,3.5
231,0.8
232,1.1
233,3.1
234,1
235,1.8
236,1.1
237,0.9
238,1
239,0.9
240,0.8
241,0.6
242,0.6
243,0.7
244,0.5
245,0.4
246,0.4
247,0.4
248,0.4
249,0.4
250,0.4
251,0.4
252,1.1
253,4.2
254,3.2
255,2.8
256,3.5
257,1.1
258,3.9
259,2
260,3.3
261,3.3
262,1
263,1.1
264,0.9
265,0.6
266,0.5
267,0.4
268,0.4
269,0.3
270,0.4
271,0.3
272,0.4
273,0.9
274,0.4
275,0.5
276,0.5
277,0.5
278,0.5
279,0.8
280,0.8
281,0.4
282,0.4
283,1.6
284,1.2
285,0.8
286,0.8
287,0.8
288,0.8
289,0.6
290,0.4
291,0.3
292,0.4
293,0.3
294,0.4
295,0.3
296,0.4
297,0.3
298,0.4
299,0.6
300,0.4
301,0.5
302,0.7
303,0.6
304,0.4
305,2.6
306,0.5
307,1.5
308,1.2
309,1.8
310,1.4
311,1.1
312,1.8
313,3.3
314,0.6
315,0.5
316,0.5
317,0.4
318,0.4
319,0.4
320,0.4
321,0.4
322,1
323,3.6
324,0.9
325,0.6
326,0.6
327,0.6
328,0.7
329,0.8
330,0.8
331,2.2
332,1.3
333,0.9
334,0.9
335,1.2
336,2.1
337,2.1
338,3
339,2.9
340,0.5
341,0.4
342,0.3
343,0.4
344,0.3
345,0.4
346,0.5
347,0.5
348,0.7
349,0.4
350,0.5
351,2.2
352,1.1
353,0.6
354,0.6
355,0.4
356,0.5
357,0.5
358,0.7
359,1
360,0.5
361,0.4
362,0.3
363,0.4
364,0.3
365,0.4
366,0.4
